Brand,Amount of Laptops,MEDIAN of USD,AVERAGE of RAM(GB),AVERAGE of SSD(GB),AVERAGE of HDD(GB),% of Market Share
Huawei,1,1799.9,16.0,1024.0,0.0,0.03%
Nokia,1,515.0,8.0,512.0,0.0,0.03%
Razer,1,4308.0,16.0,1024.0,0.0,0.03%
VAIO,1,540.5,8.0,512.0,0.0,0.03%
Coconics,2,883.9,8.0,512.0,0.0,0.05%
Tecno,2,516.0,12.0,512.0,0.0,0.05%
Colorful,3,1019.9,16.0,512.0,0.0,0.08%
Realme,3,527.9,10.7,426.7,0.0,0.08%
Wings,4,329.9,10.0,448.0,0.0,0.11%
Fujitsu,8,949.1,16.0,512.0,0.0,0.22%
Zebronics,8,419.9,12.0,576.0,0.0,0.22%
Xiaomi,9,479.9,9.8,455.1,0.0,0.25%
Honor,13,526.7,10.5,433.2,0.0,0.36%
LG,15,1077.6,12.3,477.9,0.0,0.41%
AVITA,16,467.9,8.8,400.0,0.0,0.44%
Gigabyte,16,1280.4,15.0,736.0,0.0,0.44%
Microsoft,23,1404.0,12.5,389.6,0.0,0.63%
Apple,26,1934.9,13.5,531.7,0.0,0.71%
Infinix,37,443.9,14.5,567.4,0.0,1.01%
Samsung,55,1307.9,16.0,614.4,0.0,1.51%
Acer,254,611.3,9.3,352.1,410.6,6.95%
MSI,298,965.9,16.3,719.5,123.7,8.16%
Dell,401,647.9,9.9,384.0,342.1,10.98%
HP,748,660.0,10.1,405.3,322.2,20.48%
Lenovo,775,636.0,10.5,412.5,293.9,21.22%
ASUS,933,755.9,11.9,540.5,213.4,25.54%
Price Ranges,Quantity,,,,,
< 500,962,,,,,
500-1000 ,1717,,,,,
1000-1500 ,531,,,,,
1500-2000 ,203,,,,,
2000-2500 USD,110,,,,,
2500+ USD,103,,,,,